Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom

Title,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,2025 JIF,JIF Rank
Veterinary Research Forum,VET RES FORUM,URMIA UNIV,2008-8140,2322-3618,ZOOLOGY,SCIE,1.4,74/183
AppliedMath,APPLIEDMATH-BASEL,MDPI,N/A,2673-9909,"MATHEMATICS, APPLIED",ESCI,1.4,132/345
ARTHROPOD STRUCTURE & DEVELOPMENT,ARTHROPOD STRUCT DEV,ELSEVIER SCI LTD,1467-8039,1873-5495,ENTOMOLOGY,SCIE,1.4,55/110
FAMILY & COMMUNITY HEALTH,FAM COMMUNITY HEALTH,LIPPINCOTT WILLIAMS & WILKINS,0160-6379,1550-5057,Multiple,SSCI,1.4,33/66
Global Studies of Childhood,GLOB STUD CHILDHOOD,SAGE PUBLICATIONS INC,2043-6106,2043-6106,EDUCATION & EDUCATIONAL RESEARCH,ESCI,1.4,380/760
JOURNAL OF BIOSOCIAL SCIENCE,J BIOSOC SCI,CAMBRIDGE UNIV PRESS,0021-9320,1469-7599,Multiple,SSCI,1.4,29/51
JOURNAL OF MATHEMATICAL PSYCHOLOGY,J MATH PSYCHOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,0022-2496,1096-0880,Multiple,SCIE,1.4,87/137
JOURNAL OF VETERINARY DIAGNOSTIC INVESTIGATION,J VET DIAGN INVEST,SAGE PUBLICATIONS INC,1040-6387,1943-4936,VETERINARY SCIENCES,SCIE,1.4,91/170
Novum Jus,NOVUM JUS,"UNIV CATOLICA COLOMBIA, FAC DERECHO",1692-6013,2500-8692,LAW,ESCI,1.4,109/443
Seminars in Plastic Surgery,SEMIN PLAST SURG,THIEME MEDICAL PUBL INC,1535-2188,1536-0067,SURGERY,SCIE,1.4,202/321
Communication Reports,COMMUN REP,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0893-4215,1745-1043,COMMUNICATION,ESCI,1.4,114/227
Democracy & Security,DEMOCR SECUR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1741-9166,1555-5860,POLITICAL SCIENCE,ESCI,1.4,171/332
HEALTH CARE ANALYSIS,HEALTH CARE ANAL,SPRINGER,1065-3058,1573-3394,Multiple,SSCI,1.4,42/78
International Journal of Nursing Education Scholarship,INT J NURS EDUC SCHO,WALTER DE GRUYTER GMBH,2194-5772,1548-923X,NURSING,ESCI,1.4,127/194
JOURNAL OF PAEDIATRICS AND CHILD HEALTH,J PAEDIATR CHILD H,WILEY,1034-4810,1440-1754,PEDIATRICS,SCIE,1.4,112/190
Leadership and Policy in Schools,LEADERSH POLICY SCH,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1570-0763,1744-5043,EDUCATION & EDUCATIONAL RESEARCH,ESCI,1.4,380/760
MENTORING & TUTORING,MENTOR TUTOR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1361-1267,1469-9745,EDUCATION & EDUCATIONAL RESEARCH,ESCI,1.4,380/760
Topics in Spinal Cord Injury Rehabilitation,TOP SPINAL CORD INJ,AMER SPINAL INJURY ASSOC,1082-0744,1945-5763,REHABILITATION,ESCI,1.4,111/175
Biodemography and Social Biology,BIODEMOGR SOC BIOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1948-5565,1948-5573,Multiple,SSCI,1.4,29/51
CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE,CAN J POLIT SCI,CAMBRIDGE UNIV PRESS,0008-4239,1744-9324,POLITICAL SCIENCE,SSCI,1.4,171/332
International Journal of Alcohol and Drug Research,INT J ALCOHOL DRUG R,"OHIO STATE UNIV, COLL SOCIAL WORK",1925-7066,1925-7066,BEHAVIORAL SCIENCES,ESCI,1.4,46/57
JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE,J ASSOC NURSE AIDS C,LIPPINCOTT WILLIAMS & WILKINS,1055-3290,1552-6917,Multiple,"SCIE, SSCI",1.4,127/194
Archives of Plastic Surgery-APS,ARCH PLAST SURG-APS,GEORG THIEME VERLAG KG,2234-6163,2234-6171,SURGERY,ESCI,1.4,202/321
Audiology and Neurotology,AUDIOL NEUROTOL,KARGER,1420-3030,1421-9700,Multiple,SCIE,1.4,23/35
HISTORICAL BIOLOGY,HIST BIOL,TAYLOR & FRANCIS LTD,0891-2963,1029-2381,PALEONTOLOGY,SCIE,1.4,34/58
HSS Journal,HSS J,SAGE PUBLICATIONS INC,1556-3316,1556-3324,Multiple,SCIE,1.4,99/147
INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL HYPNOSIS,INT J CLIN EXP HYP,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0020-7144,1744-5183,Multiple,SSCI,1.4,230/293
International Journal of Work-Integrated Learning,INT J WORK-INTEGR L,Work-Integrated Learning NZ-WILNZ,2538-1032,2538-1032,EDUCATION & EDUCATIONAL RESEARCH,ESCI,1.4,380/760
Issues in Educational Research,ISS EDUC RES,WESTERN AUSTRALIAN INST EDUCATIONAL RESEARCH INC,1837-6290,1837-6290,EDUCATION & EDUCATIONAL RESEARCH,ESCI,1.4,380/760
Journal of Family Trauma Child Custody & Child Development,J FAM TRAUMA CHILD C,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2690-4586,2690-4594,FAMILY STUDIES,ESCI,1.4,33/66
Journal of Foot & Ankle Surgery,J FOOT ANKLE SURG,ELSEVIER SCIENCE INC,1067-2516,1542-2224,Multiple,SCIE,1.4,99/147
Journal of Wound Ostomy and Continence Nursing,J WOUND OSTOMY CONT,LIPPINCOTT WILLIAMS & WILKINS,1071-5754,1528-3976,NURSING,"SCIE, SSCI",1.4,127/194
Analyses of Social Issues and Public Policy,ANAL SOC ISS PUB POL,WILEY,1529-7489,1530-2415,Multiple,SSCI,1.4,59/77
Cogent Psychology,COGENT PSYCHOL,TAYLOR & FRANCIS LTD,2331-1908,2331-1908,"PSYCHOLOGY, MULTIDISCIPLINARY",ESCI,1.4,132/222
English Teaching and Learning,ENGL TEACH LEARN,SPRINGER SINGAPORE PTE LTD,1023-7267,2522-8560,Multiple,ESCI,1.4,380/760
Iranian Journal of Science,IRAN J SCI,SPRINGER INT PUBL AG,2731-8095,2731-8109,MULTIDISCIPLINARY SCIENCES,SCIE,1.4,74/140
JOURNAL OF FORAMINIFERAL RESEARCH,J FORAMIN RES,CUSHMAN FOUNDATION FORAMINIFERAL RESEARCH,0096-1191,N/A,PALEONTOLOGY,SCIE,1.4,34/58
Journal of the American Association of Nurse Practitioners,J AM ASSOC NURSE PRA,LIPPINCOTT WILLIAMS & WILKINS,2327-6886,2327-6924,Multiple,SCIE,1.4,153/194
Anthropological Journal of European Cultures,ANTHROPOL J EUR CULT,BERGHAHN JOURNALS,1755-2923,1755-2931,ANTHROPOLOGY,ESCI,1.4,47/143
Contemporary School Psychology,CONTEMP SCH PSYCHOL,SPRINGER,2159-2020,2161-1505,"PSYCHOLOGY, EDUCATIONAL",ESCI,1.4,56/73
EUROPEAN JOURNAL OF ENTOMOLOGY,EUR J ENTOMOL,"CZECH ACAD SCI, INST ENTOMOLOGY",N/A,1802-8829,ENTOMOLOGY,SCIE,1.4,55/110
JOURNAL OF CRUSTACEAN BIOLOGY,J CRUSTACEAN BIOL,OXFORD UNIV PRESS,0278-0372,1937-240X,Multiple,SCIE,1.4,75/124
Norsk Geografisk Tidsskrift-Norwegian Journal of Geography,NORSK GEOGR TIDSSKR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0029-1951,1502-5292,GEOGRAPHY,SSCI,1.4,84/174
Peace and Conflict-Journal of Peace Psychology,PEACE CONFL,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,1078-1919,1532-7949,"PSYCHOLOGY, SOCIAL",ESCI,1.4,59/77
PROSTHETICS AND ORTHOTICS INTERNATIONAL,PROSTHET ORTHOT INT,WOLTERS KLUWER HEALTH,0309-3646,1746-1553,Multiple,SCIE,1.4,99/147
QUINTESSENCE INTERNATIONAL,QUINTESSENCE INT,QUINTESSENCE PUBLISHING CO INC,0033-6572,1936-7163,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,1.4,113/165
RATIONALITY AND SOCIETY,RATION SOC,SAGE PUBLICATIONS LTD,1043-4631,1461-7358,SOCIOLOGY,SSCI,1.4,123/222
Sports Engineering,SPORTS ENG,SPRINGER LONDON LTD,1369-7072,1460-2687,SPORT SCIENCES,ESCI,1.4,94/136
Currents in Pharmacy Teaching and Learning,CURR PHARM TEACH LEA,ELSEVIER SCIENCE INC,1877-1297,1877-1300,"EDUCATION, SCIENTIFIC DISCIPLINES",ESCI,1.4,52/89
Decision Sciences-Journal of Innovative Education,DECIS SCI-J INNOV ED,WILEY,1540-4595,1540-4609,EDUCATION & EDUCATIONAL RESEARCH,ESCI,1.4,380/760
EGYPTIAN JOURNAL OF VETERINARY SCIENCE,EGYPT J VET SCI,NATL INFORMATION DOCUMENTATION CENTRE,1110-0222,2357-089X,VETERINARY SCIENCES,ESCI,1.4,91/170
European Oral Research,EUR ORAL RES,"ISTANBUL UNIV PRESS, ISTANBUL UNIV RECTORATE",2630-6158,2651-2823,"DENTISTRY, ORAL SURGERY & MEDICINE",ESCI,1.4,113/165
Iranian Journal of Nursing and Midwifery Research,IRAN J NURS MIDWIFE,WOLTERS KLUWER MEDKNOW PUBLICATIONS,1735-9066,2228-5504,NURSING,ESCI,1.4,127/194
JOURNAL OF THE PHILOSOPHY OF SPORT,J PHILOS SPORT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0094-8705,1543-2939,Multiple,SSCI,1.4,42/78
JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS,J VET PHARMACOL THER,WILEY,0140-7783,1365-2885,Multiple,SCIE,1.4,295/356
Minerva Dental and Oral Science,MINERVA DENT ORAL SC,EDIZIONI MINERVA MEDICA,2724-6329,2724-6337,"DENTISTRY, ORAL SURGERY & MEDICINE",ESCI,1.4,113/165
Theriogenology Wild,THERIOGENOL WILD,ELSEVIER,N/A,2773-093X,Multiple,ESCI,1.4,38/44
Canadian Journal of School Psychology,CAN J SCH PSYCHOL,SAGE PUBLICATIONS INC,0829-5735,2154-3984,"PSYCHOLOGY, EDUCATIONAL",SSCI,1.4,56/73
POLISH JOURNAL OF VETERINARY SCIENCES,POL J VET SCI,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, UNIV WARMIA & MAZURY OLSZTYN",1505-1773,2300-2557,VETERINARY SCIENCES,SCIE,1.4,91/170
POLITICKA EKONOMIE,POLIT EKON,Prague Univ Economics and Business,0032-3233,2336-8225,Multiple,SSCI,1.4,337/626
Power and Education,POWER EDUC,SAGE PUBLICATIONS LTD,N/A,1757-7438,EDUCATION & EDUCATIONAL RESEARCH,ESCI,1.4,380/760
American Journal of Sexuality Education,AM J SEX EDUC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1554-6128,1554-6136,EDUCATION & EDUCATIONAL RESEARCH,ESCI,1.4,380/760
GEOGRAPHICAL REVIEW,GEOGR REV,TAYLOR & FRANCIS INC,0016-7428,1931-0846,GEOGRAPHY,SSCI,1.4,84/174
International Journal of Reproductive Biomedicine,INT J REPROD BIOMED,SHAHID SADOUGHI UNIV MEDICAL SCIENCES,2476-4108,2476-3772,OBSTETRICS & GYNECOLOGY,ESCI,1.4,106/143
JOURNAL OF MARITAL AND FAMILY THERAPY,J MARITAL FAM THER,WILEY,0194-472X,1752-0606,Multiple,SSCI,1.4,33/66
JOURNAL OF PEDIATRIC OPHTHALMOLOGY & STRABISMUS,J PEDIAT OPHTH STRAB,SLACK INC,0191-3913,1938-2405,Multiple,SCIE,1.4,69/98
SPECTROSCOPY LETTERS,SPECTROSC LETT,TAYLOR & FRANCIS INC,0038-7010,1532-2289,SPECTROSCOPY,SCIE,1.4,32/43
Empirica,EMPIRICA,SPRINGER,0340-8744,1573-6911,ECONOMICS,SSCI,1.4,337/626
ESAIM-CONTROL OPTIMISATION AND CALCULUS OF VARIATIONS,ESAIM CONTR OPTIM CA,EDP SCIENCES S A,1292-8119,1262-3377,Multiple,SCIE,1.4,67/88
Global Social Policy,GLOB SOC POLICY,SAGE PUBLICATIONS LTD,1468-0181,1741-2803,POLITICAL SCIENCE,ESCI,1.4,171/332
HAND CLINICS,HAND CLIN,W B SAUNDERS CO-ELSEVIER INC,0749-0712,1558-1969,ORTHOPEDICS,SCIE,1.4,99/147
Journal for the Study of Education and Development,J STUD EDUC DEV,SAGE PUBLICATIONS INC,0210-3702,1578-4126,Multiple,SSCI,1.4,77/95
JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION,J GEOGR HIGHER EDUC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0309-8265,1466-1845,Multiple,SSCI,1.4,380/760
Montenegrin Journal of Sports Science and Medicine,MONTENEGRIN J SPORT,MONTENEGRIN SPORTS ACAD,1800-8755,1800-8763,SPORT SCIENCES,ESCI,1.4,94/136
PEDIATRIC TRANSPLANTATION,PEDIATR TRANSPLANT,WILEY,1397-3142,1399-3046,Multiple,SCIE,1.4,112/190
Studies in Agricultural Economics,STUD AGRIC ECON,AGRARGAZDASAGI KUTATO & INFORMATIKAI INTEZET,1418-2106,2063-0476,AGRICULTURAL ECONOMICS & POLICY,ESCI,1.4,30/45
Zeitschrift fur Erziehungswissenschaft,Z ERZIEHWISS,SPRINGER VIEWEG-SPRINGER FACHMEDIEN WIESBADEN GMBH,1434-663X,1862-5215,EDUCATION & EDUCATIONAL RESEARCH,SSCI,1.4,380/760
Alpine Entomology,ALP ENTOMOL,PENSOFT PUBLISHERS,N/A,2535-0889,ENTOMOLOGY,ESCI,1.4,55/110
Australian Journal of Primary Health,AUST J PRIM HEALTH,CSIRO PUBLISHING,1448-7527,1836-7399,Multiple,SCIE,1.4,153/194
Combinatorial Theory,COMBINATORIAL THEOR,ESCHOLARSHIP PUBL,N/A,2766-1334,MATHEMATICS,ESCI,1.4,79/492
CRIMINAL JUSTICE STUDIES,CRIM JUSTICE STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1478-601X,1478-6028,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,1.4,89/109
Grotiana,GROTIANA,BRILL,0167-3831,1876-0759,"HUMANITIES, MULTIDISCIPLINARY",ESCI,1.4,N/A
Journal of Quantitative Analysis in Sports,J QUANT ANAL SPORTS,WALTER DE GRUYTER GMBH,2194-6388,1559-0410,"SOCIAL SCIENCES, MATHEMATICAL METHODS",ESCI,1.4,41/70
Pedagogies,PEDAGOGIES,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1554-480X,1554-4818,EDUCATION & EDUCATIONAL RESEARCH,ESCI,1.4,380/760
Turk Oftalmoloji Dergisi-Turkish Journal of Ophthalmology,TURK OFTAMOL DERGISI,GALENOS PUBL HOUSE,1300-0659,2147-2661,OPHTHALMOLOGY,ESCI,1.4,69/98
Annals of Cardiac Anaesthesia,ANN CARD ANAESTH,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0971-9784,0974-5181,ANESTHESIOLOGY,ESCI,1.4,42/72
Applied Neuropsychology-Child,APPL NEUROPSYCH-CHIL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2162-2965,2162-2973,Multiple,SCIE,1.4,239/296
Brazilian Oral Research,BRAZ ORAL RES,SOCIEDADE BRASILEIRA DE PESQUISA ODONTOLOGICA,1807-3107,1807-3107,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,1.4,113/165
Freshwater Science,FRESHW SCI,UNIV CHICAGO PRESS,2161-9549,2161-9565,Multiple,SCIE,1.4,154/205
Journal of Baltic Science Education,J BALT SCI EDUC,SCI METHODICAL CTR-SCI EDUCOLOGICA,1648-3898,1648-3898,EDUCATION & EDUCATIONAL RESEARCH,SSCI,1.4,380/760
Journal of the Turkish-German Gynecological Association,J TURK-GER GYNECOL A,GALENOS PUBL HOUSE,1309-0399,1309-0380,OBSTETRICS & GYNECOLOGY,ESCI,1.4,106/143
Public Integrity,PUBLIC INTEGR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1099-9922,1558-0989,PUBLIC ADMINISTRATION,ESCI,1.4,60/97
SCANDINAVIAN JOURNAL OF CLINICAL & LABORATORY INVESTIGATION,SCAND J CLIN LAB INV,TAYLOR & FRANCIS LTD,0036-5513,1502-7686,MEDICAL LABORATORY TECHNOLOGY,SCIE,1.4,23/33
SCANDINAVIAN JOURNAL OF ECONOMICS,SCAND J ECON,WILEY,0347-0520,1467-9442,ECONOMICS,SSCI,1.4,337/626
Women-A Cultural Review,WOMEN,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0957-4042,1470-1367,"HUMANITIES, MULTIDISCIPLINARY",ESCI,1.4,N/A
Chronic Illness,CHRONIC ILLN,SAGE PUBLICATIONS LTD,1742-3953,1745-9206,Multiple,SCIE,1.4,153/194
Journal of Motor Learning and Development,J MOTOR LEARN DEV,HUMAN KINETICS PUBL INC,2325-3193,2325-3215,Multiple,ESCI,1.4,77/95
JOURNAL OF NONLINEAR OPTICAL PHYSICS & MATERIALS,J NONLINEAR OPT PHYS,WORLD SCIENTIFIC PUBL CO PTE LTD,0218-8635,1793-6624,Multiple,SCIE,1.4,99/129
Journal of Ophthalmic & Vision Research,J OPHTHAL VIS RES,KNOWLEDGE E,2008-2010,2008-322X,OPHTHALMOLOGY,ESCI,1.4,69/98
Journal of Plastic Surgery and Hand Surgery,J PLAST SURG HAND SU,Medical Journal Sweden AB,2000-656X,2000-6764,Multiple,SCIE,1.4,99/147
JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,J AM MOSQUITO CONTR,AMER MOSQUITO CONTROL ASSOC,8756-971X,1943-6270,ENTOMOLOGY,SCIE,1.4,55/110
Medical Molecular Morphology,MED MOL MORPHOL,SPRINGER JAPAN KK,1860-1480,1860-1499,PATHOLOGY,SCIE,1.4,63/89
Revista Internacional de Andrologia,REV INT ANDROL,MRE PRESS,1698-031X,N/A,ANDROLOGY,SCIE,1.4,7/8
SA Journal of Industrial Psychology,SA J IND PSYCHOL,AOSIS,0258-5200,2071-0763,"PSYCHOLOGY, APPLIED",ESCI,1.4,84/115
APPLIED MEASUREMENT IN EDUCATION,APPL MEAS EDUC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0895-7347,1532-4818,Multiple,SSCI,1.4,380/760
Archivio Italiano di Urologia e Andrologia,ARCH ITAL UROL ANDRO,PAGEPRESS PUBL,1124-3562,2282-4197,UROLOGY & NEPHROLOGY,ESCI,1.4,93/134
Journal of Postsecondary Student Success,J POSTSECOND STUD S,Florida State Open Publishing,2769-4879,2769-4887,EDUCATION & EDUCATIONAL RESEARCH,ESCI,1.4,380/760
LIMNOLOGY,LIMNOLOGY,SPRINGER JAPAN KK,1439-8621,1439-863X,LIMNOLOGY,SCIE,1.4,14/21
ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS,ANN I STAT MATH,SPRINGER HEIDELBERG,0020-3157,1572-9052,STATISTICS & PROBABILITY,SCIE,1.4,79/170
BEHAVIOURAL PHARMACOLOGY,BEHAV PHARMACOL,LIPPINCOTT WILLIAMS & WILKINS,0955-8810,1473-5849,Multiple,SCIE,1.4,46/57
DIATOM RESEARCH,DIATOM RES,TAYLOR & FRANCIS LTD,0269-249X,2159-8347,MARINE & FRESHWATER BIOLOGY,SCIE,1.4,75/124
Journal of Mathematics in Industry,J MATH IND,SPRINGER,2190-5983,2190-5983,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",ESCI,1.4,87/137
Psyche-A Journal of Entomology,PSYCHE-J ENTOMOL,WILEY,0033-2615,1687-7438,ENTOMOLOGY,ESCI,1.4,55/110
Advances in Mathematical Physics,ADV MATH PHYS,WILEY,1687-9120,1687-9139,"PHYSICS, MATHEMATICAL",SCIE,1.4,36/61
FISHERIES SCIENCE,FISHERIES SCI,SPRINGER JAPAN KK,0919-9268,1444-2906,FISHERIES,SCIE,1.4,43/63
Islets,ISLETS,TAYLOR & FRANCIS INC,1938-2014,1938-2022,ENDOCRINOLOGY & METABOLISM,SCIE,1.4,169/198
JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,J OCCUP ENVIRON MED,LIPPINCOTT WILLIAMS & WILKINS,1076-2752,1536-5948,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,1.4,341/443
New Zealand Geographer,NEW ZEAL GEOGR,WILEY,0028-8144,1745-7939,GEOGRAPHY,SSCI,1.4,84/174
CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES,CAN PUBLIC POL,UNIV TORONTO PRESS INC,0317-0861,1911-9917,Multiple,SSCI,1.4,337/626
Current Dermatology Reports,CURR DERMATOL REP,SPRINGER,2162-4933,2162-4933,DERMATOLOGY,ESCI,1.4,69/99
Early Child Development and Care,EARLY CHILD DEV CARE,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0300-4430,1476-8275,Multiple,SSCI,1.4,380/760
Integrative Psychological and Behavioral Science,INTEGR PSYCHOL BEHAV,SPRINGER,1932-4502,1936-3567,"PSYCHOLOGY, BIOLOGICAL",SSCI,1.4,14/17
Interdisciplinary Cardiovascular and Thoracic Surgery,INTERDISC CARDIOV TH,OXFORD UNIV PRESS,N/A,2753-670X,Multiple,SCIE,1.4,172/237
International Journal of Emotional Education,INT J EMOT EDUC,CENTRE RESILIENCE & SOCIO-EMOTIONAL HEALTH,2073-7629,2073-7629,"PSYCHOLOGY, EDUCATIONAL",ESCI,1.4,56/73
JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,J MANIP PHYSIOL THER,MOSBY-ELSEVIER,0161-4754,N/A,Multiple,SCIE,1.4,153/194
Journal of Neuroscience Psychology and Economics,J NEUROSCI PSYCHOL E,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,1937-321X,2151-318X,Multiple,SSCI,1.4,337/626
Journal of Oral Science,J ORAL SCI,"NIHON UNIV, SCHOOL DENTISTRY",1343-4934,1880-4926,Multiple,SCIE,1.4,113/165
Osong Public Health and Research Perspectives,OSONG PUBLIC HEALTH,KOREA DISEASE CONTROL & PREVENTION AGENCY,2210-9099,2233-6052,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",ESCI,1.4,341/443
Physics,PHYSICS-BASEL,MDPI,N/A,2624-8174,"PHYSICS, MULTIDISCIPLINARY",ESCI,1.4,65/112
Radiology Research and Practice,RADIOL RES PRACT,WILEY,2090-1941,2090-195X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",ESCI,1.4,159/217
Smart Structures and Systems,SMART STRUCT SYST,TECHNO-PRESS,1738-1584,1738-1991,Multiple,SCIE,1.4,136/193
ACTA OCEANOLOGICA SINICA,ACTA OCEANOL SIN,SPRINGER,0253-505X,1869-1099,OCEANOGRAPHY,SCIE,1.4,51/67
CONTEMPORARY FAMILY THERAPY,CONTEMP FAM THER,SPRINGER,0892-2764,1573-3335,"PSYCHOLOGY, CLINICAL",ESCI,1.4,127/184
Current Problems in Diagnostic Radiology,CURR PROBL DIAGN RAD,MOSBY-ELSEVIER,0363-0188,0363-0188,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",ESCI,1.4,159/217
DISCRETE DYNAMICS IN NATURE AND SOCIETY,DISCRETE DYN NAT SOC,WILEY,1026-0226,1607-887X,Multiple,SCIE,1.4,87/137
Quality Management in Health Care,QUAL MANAG HEALTH CA,LIPPINCOTT WILLIAMS & WILKINS,1063-8628,1550-5154,Multiple,SCIE,1.4,153/194
TETRAHEDRON LETTERS,TETRAHEDRON LETT,PERGAMON-ELSEVIER SCIENCE LTD,0040-4039,1873-3581,"CHEMISTRY, ORGANIC",SCIE,1.4,40/58
American Journal of Hospice & Palliative Medicine,AM J HOSP PALLIAT ME,SAGE PUBLICATIONS INC,1049-9091,1938-2715,HEALTH CARE SCIENCES & SERVICES,SCIE,1.4,153/194
CARDIOLOGY CLINICS,CARDIOL CLIN,W B SAUNDERS CO-ELSEVIER INC,0733-8651,1558-2264,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,1.4,172/237
High Energy Density Physics,HIGH ENERG DENS PHYS,ELSEVIER,1574-1818,1878-0563,"PHYSICS, FLUIDS & PLASMAS",SCIE,1.4,34/43
Journal of Animal Behaviour and Biometeorology,J ANIM BEHAV BIOMETE,MALQUE PUBLISHING,N/A,2318-1265,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",ESCI,1.4,54/87
NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,NEW ZEAL J CROP HORT,WILEY,0114-0671,1175-8783,Multiple,SCIE,1.4,81/133
SPACE AND POLITY,SPACE POLITY,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1356-2576,1470-1235,GEOGRAPHY,ESCI,1.4,84/174
Special Care in Dentistry,SPEC CARE DENT,WILEY,0275-1879,1754-4505,"DENTISTRY, ORAL SURGERY & MEDICINE",ESCI,1.4,113/165
Taiwan Journal of Ophthalmology,TAIWAN J OPHTHALMOL,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2211-5056,2211-5072,OPHTHALMOLOGY,ESCI,1.4,69/98
Asian Development Review,ASIAN DEVELOP REV,WORLD SCIENTIFIC PUBL CO PTE LTD,0116-1105,1996-7241,Multiple,ESCI,1.4,48/66
Hemodialysis International,HEMODIAL INT,WILEY,1492-7535,1542-4758,UROLOGY & NEPHROLOGY,SCIE,1.4,93/134
HOME HEALTH CARE SERVICES QUARTERLY,HOME HEALTH CARE SER,TAYLOR & FRANCIS LTD,0162-1424,1545-0856,HEALTH POLICY & SERVICES,ESCI,1.4,108/125
International Journal of AEROSPACE Psychology,INT J AEROSP PSYCHOL,TAYLOR & FRANCIS INC,2472-1832,2472-1840,"PSYCHOLOGY, APPLIED",SSCI,1.4,84/115
INTERNATIONAL JOURNAL OF MODERN PHYSICS C,INT J MOD PHYS C,WORLD SCIENTIFIC PUBL CO PTE LTD,0129-1831,1793-6586,Multiple,SCIE,1.4,150/185
Journal of Chiropractic Medicine,J CHIROPR MED,ELSEVIER INC,0899-3467,1556-3715,REHABILITATION,ESCI,1.4,111/175
Journal of Human Reproductive Sciences,J HUM REPROD SCI,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0974-1208,1998-4766,Multiple,ESCI,1.4,106/143
Journal of the Geographical Institute Jovan Cvijic SASA,J GEOGR INST JOVAN C,GEOGRAFSKI INST JOVAN CVIJIC SASA,0350-7599,1821-2808,GEOGRAPHY,ESCI,1.4,84/174
QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,Q J NUCL MED MOL IM,EDIZIONI MINERVA MEDICA,1824-4785,1827-1936,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,1.4,159/217
Revista Espanola de Investigaciones Sociologicas,REV ESP INVESTIG SOC,CENTRO INVESTIGACIONES SOCIOLOGICAS,0210-5233,1988-5903,SOCIOLOGY,SSCI,1.4,123/222
ACTA ACUSTICA,ACTA ACUST,EDP SCIENCES S A,N/A,2681-4617,ACOUSTICS,SCIE,1.4,28/41
ANNALES HENRI POINCARE,ANN HENRI POINCARE,SPRINGER INT PUBL AG,1424-0637,1424-0661,Multiple,SCIE,1.4,36/61
